index,carat,cut,color,clarity,depth,table,x,y,z
1472,1.07,Very Good,E,SI2,61.6,56.0,6.54,6.6,4.05
1473,0.41,Very Good,E,SI1,61.1,62.0,4.76,4.83,2.93
1474,0.93,Very Good,G,VS1,62.1,59.0,6.16,6.21,3.84
1475,1.54,Premium,E,SI2,59.9,60.0,7.49,7.38,4.46
1476,1.02,Ideal,H,SI2,61.8,55.0,6.47,6.51,4.01
1477,0.9,Good,E,SI1,63.5,55.0,6.12,6.22,3.92
1478,0.7,Ideal,H,VVS2,61.8,55.0,5.69,5.74,3.53
1479,0.23,Very Good,D,VS2,63.1,58.0,3.91,3.95,2.48
1480,1.3,Premium,I,VS2,62.7,58.0,6.97,6.9,4.35
1481,0.35,Ideal,G,VS1,61.9,55.0,4.53,4.52,2.8
1482,0.9,Fair,E,VS2,65.2,61.0,6.01,5.98,3.91
1483,0.3,Ideal,E,VVS2,61.9,57.0,4.31,4.28,2.66
1484,1.02,Ideal,H,SI1,60.8,58.0,6.47,6.49,3.94
1485,0.86,Ideal,G,SI2,61.9,55.0,6.11,6.14,3.79
1486,0.95,Premium,H,SI2,58.8,60.0,6.45,6.38,3.77
1487,0.36,Ideal,D,SI1,60.6,56.0,4.58,4.63,2.79
1488,0.42,Good,F,SI1,63.4,56.0,4.76,4.8,3.03
1489,0.32,Very Good,J,VS2,60.0,61.0,4.45,4.49,2.68
1490,0.9,Good,G,VS2,62.0,63.0,6.06,6.13,3.78
1491,0.81,Ideal,D,SI2,61.9,54.0,5.96,5.99,3.7
1492,0.51,Premium,G,VS2,61.2,60.0,5.12,5.17,3.15
1493,0.9,Good,H,SI2,60.4,61.0,6.14,6.22,3.73
1494,0.31,Ideal,G,VS1,62.1,55.0,4.33,4.37,2.7
1495,0.39,Very Good,G,VS1,60.3,59.0,4.71,4.77,2.86
1496,1.11,Ideal,G,IF,61.9,55.0,6.64,6.68,4.12
1497,1.02,Very Good,J,VS2,59.3,58.0,6.56,6.62,3.91
1498,0.81,Premium,H,SI2,60.0,59.0,6.03,5.97,3.62
1499,0.37,Ideal,D,VS2,61.0,56.0,4.65,4.7,2.85
1500,1.21,Ideal,H,SI1,61.1,57.0,6.83,6.91,4.2
1501,0.31,Good,F,VS2,63.5,55.0,4.31,4.32,2.74
1502,0.31,Premium,E,SI1,62.7,58.0,4.32,4.35,2.72
1503,1.06,Premium,E,SI1,60.8,58.0,6.59,6.54,3.99
1504,2.01,Very Good,F,SI2,62.3,63.0,8.07,7.96,4.99
1505,2.06,Premium,G,SI2,59.8,61.0,8.26,8.22,4.93
1506,1.21,Premium,G,VS2,63.0,58.0,6.72,6.67,4.22
1507,0.71,Very Good,E,SI2,62.1,57.0,5.71,5.76,3.56
1508,0.53,Ideal,E,VS2,62.4,56.0,5.16,5.2,3.23
1509,0.32,Ideal,G,VVS1,61.8,54.0,4.4,4.43,2.73
1510,0.4,Very Good,F,IF,62.8,57.0,4.65,4.68,2.93
1511,0.34,Ideal,G,SI1,62.7,57.0,4.48,4.51,2.82
1512,1.01,Very Good,G,VS2,62.4,58.0,6.37,6.41,3.99
1513,0.31,Ideal,D,VS2,61.9,56.0,4.38,4.37,2.71
1514,2.06,Very Good,J,VS2,62.6,58.0,8.05,8.08,5.05
1515,2.1,Premium,J,SI2,59.1,58.0,8.46,8.4,4.98
1516,0.31,Ideal,F,VS2,62.2,56.0,4.36,4.39,2.72
1517,1.02,Premium,H,VS2,62.4,58.0,6.39,6.43,4.0
1518,0.7,Ideal,D,VS1,62.5,57.0,5.64,5.68,3.54
1519,1.22,Premium,F,VS2,59.8,59.0,6.96,6.92,4.15
1520,1.01,Ideal,D,SI2,61.6,57.0,6.46,6.42,3.97
1521,1.13,Ideal,D,SI2,61.6,55.0,6.73,6.7,4.14
1522,0.55,Ideal,H,VS1,62.3,56.0,5.22,5.27,3.27
1523,0.33,Ideal,H,SI1,61.0,55.0,4.45,4.49,2.73
1524,1.21,Premium,H,SI2,62.9,58.0,6.74,6.69,4.23
1525,0.7,Ideal,H,SI2,62.1,55.0,5.69,5.72,3.54
1526,0.7,Fair,H,SI1,64.7,58.0,5.59,5.54,3.6
1527,0.4,Ideal,G,VVS1,61.5,59.0,4.71,4.75,2.91
1528,0.5,Ideal,G,VVS2,61.2,56.0,5.1,5.13,3.13
1529,0.41,Ideal,D,VS2,62.4,54.0,4.78,4.74,2.97
1530,0.32,Ideal,E,VVS2,61.3,55.0,4.41,4.43,2.71
1531,0.57,Ideal,D,VS2,61.8,56.0,5.34,5.31,3.29
1532,1.23,Ideal,I,SI2,62.3,55.0,6.85,6.82,4.26
1533,1.02,Ideal,E,SI1,61.9,55.0,6.46,6.49,4.01
1534,1.53,Ideal,D,VS2,62.7,54.0,7.35,7.39,4.62
1535,1.21,Very Good,F,VS2,60.1,58.0,6.85,6.92,4.14
1536,0.41,Premium,F,SI1,61.8,58.0,4.76,4.75,2.94
1537,0.31,Good,H,SI1,64.0,54.0,4.29,4.31,2.75
1538,0.31,Ideal,E,VS2,61.9,55.0,4.39,4.34,2.7
1539,0.33,Very Good,G,SI2,62.9,55.0,4.41,4.46,2.79
1540,1.02,Ideal,F,SI2,62.4,57.0,6.43,6.4,4.0
1541,1.16,Very Good,E,SI2,62.4,55.0,6.69,6.77,4.2
1542,0.34,Very Good,D,VS2,62.9,55.0,4.43,4.47,2.8
1543,0.7,Premium,G,VS1,61.4,59.0,5.74,5.59,3.51
1544,0.31,Premium,D,VS2,62.3,55.0,4.35,4.32,2.7
1545,1.35,Premium,J,SI1,61.1,61.0,7.13,7.1,4.35
1546,0.43,Very Good,I,IF,61.0,56.0,4.9,4.93,3.0
1547,0.56,Ideal,D,SI1,62.5,56.0,5.28,5.24,3.29
1548,1.01,Ideal,G,SI2,61.7,56.0,6.47,6.43,3.98
1549,0.42,Premium,G,VS2,60.6,58.0,4.88,4.83,2.94
1550,0.54,Ideal,G,VVS2,61.4,55.0,5.22,5.3,3.23
1551,1.0,Very Good,D,VS2,59.8,60.0,6.46,6.49,3.87
1552,1.56,Premium,J,VS2,61.7,58.0,7.46,7.41,4.59
1553,0.35,Ideal,H,VVS2,62.5,57.0,4.54,4.48,2.82
1554,1.12,Premium,G,VS2,61.7,56.0,6.72,6.61,4.11
1555,1.41,Good,G,SI1,63.7,57.0,7.13,7.03,4.51
1556,1.0,Fair,G,SI2,64.9,57.0,6.29,6.2,4.05
1557,1.0,Premium,G,VS2,61.6,58.0,6.43,6.39,3.95
1558,1.0,Good,H,SI2,63.8,57.0,6.32,6.28,4.02
1559,1.11,Premium,F,VVS2,59.2,59.0,6.82,6.79,4.03
1560,1.07,Very Good,I,SI1,61.8,60.0,6.52,6.56,4.04
1561,1.5,Very Good,E,SI1,64.0,58.0,7.21,7.23,4.62
1562,0.7,Premium,F,SI1,60.1,56.0,5.84,5.78,3.49
1563,0.31,Very Good,I,VS2,63.2,55.0,4.4,4.3,2.75
1564,0.6,Ideal,E,SI1,61.2,57.0,5.43,5.45,3.33
1565,0.31,Premium,E,VS1,61.1,58.0,4.37,4.34,2.66
1566,0.7,Premium,E,SI1,61.0,57.0,5.73,5.68,3.48
1567,1.62,Ideal,J,SI1,62.4,53.2,7.47,7.51,4.68
1568,0.32,Ideal,H,VVS2,61.5,55.0,4.41,4.44,2.72
1569,0.62,Very Good,H,VS2,61.8,57.0,5.47,5.5,3.39
1570,1.52,Ideal,E,SI1,62.1,56.0,7.35,7.38,4.57
1571,0.71,Good,I,SI1,62.6,63.0,5.54,5.61,3.49
1572,0.39,Ideal,G,SI1,61.3,54.0,4.73,4.77,2.91
1573,0.98,Fair,G,I1,67.3,60.0,6.17,6.11,4.14
1574,0.73,Very Good,I,VS2,59.0,61.0,5.84,5.88,3.46
1575,1.0,Ideal,F,SI1,63.0,56.0,6.41,6.38,4.03
1576,1.12,Premium,D,VS1,62.1,57.0,6.68,6.65,4.14
1577,1.42,Ideal,F,VVS1,60.8,56.0,7.25,7.32,4.43
1578,0.5,Premium,F,VS2,61.9,56.0,5.13,5.08,3.16
1579,0.37,Ideal,J,VS1,62.6,57.0,4.54,4.57,2.85
1580,0.55,Ideal,F,SI1,61.7,56.4,5.26,5.3,3.25
1581,0.7,Good,H,SI2,61.5,63.0,5.59,5.63,3.45
1582,1.0,Fair,H,SI2,67.0,55.0,6.25,6.12,4.16
1583,1.03,Ideal,F,VS1,61.7,56.0,6.49,6.54,4.02
1584,1.05,Very Good,F,VVS2,61.3,59.0,6.48,6.56,4.0
1585,0.31,Ideal,H,VS2,62.2,55.0,4.39,4.35,2.72
1586,0.51,Very Good,H,VS1,62.5,58.0,5.09,5.12,3.19
1587,0.33,Ideal,H,SI2,61.1,57.0,4.46,4.48,2.73
1588,1.06,Ideal,F,SI2,60.7,57.0,6.57,6.61,4.0
1589,0.71,Fair,I,VS1,57.1,57.0,5.87,5.9,3.36
1590,1.0,Good,H,SI1,63.9,56.0,6.31,6.28,4.02
1591,1.21,Very Good,I,SI2,62.0,56.0,6.79,6.86,4.23
1592,0.9,Ideal,H,VS2,62.4,56.0,6.15,6.18,3.85
1593,0.23,Very Good,E,VVS2,61.8,59.0,3.92,3.95,2.43
1594,1.08,Very Good,G,SI2,63.2,57.0,6.54,6.5,4.12
1595,0.33,Ideal,E,SI1,62.4,56.0,4.43,4.41,2.76
1596,1.02,Ideal,F,SI2,61.4,56.0,6.47,6.5,3.98
1597,1.62,Good,H,VS2,61.5,60.8,7.48,7.53,4.62
1598,0.41,Ideal,D,SI1,62.3,55.0,4.79,4.77,2.98
1599,0.7,Premium,F,VVS2,62.5,59.0,5.68,5.61,3.53
1600,0.51,Good,F,SI1,63.8,56.0,5.04,5.08,3.23
1601,0.54,Ideal,G,VS1,62.2,56.0,5.23,5.19,3.24
1602,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56
1603,0.3,Ideal,G,VS2,62.2,57.0,4.32,4.26,2.67
1604,1.39,Ideal,J,VS2,60.3,57.0,7.26,7.24,4.37
1605,2.02,Good,H,SI2,60.2,55.0,8.08,8.19,4.9
1606,0.31,Ideal,F,VVS1,62.2,54.0,4.36,4.39,2.72
1607,0.41,Ideal,F,VS2,60.8,56.0,4.8,4.81,2.92
1608,0.33,Premium,H,VS1,62.4,60.0,4.42,4.39,2.75
1609,0.67,Very Good,H,VS2,62.9,55.0,5.56,5.6,3.51
1610,0.92,Fair,H,SI2,66.1,57.0,6.22,6.0,4.05
1611,0.5,Very Good,E,VVS2,59.3,56.0,5.25,5.3,3.13
1612,1.0,Premium,E,SI2,61.7,58.0,6.39,6.34,3.93
1613,1.13,Very Good,D,SI2,62.3,60.0,6.59,6.7,4.14
1614,1.09,Very Good,F,SI2,63.2,58.0,6.54,6.49,4.12
1615,0.4,Premium,H,VS1,62.7,56.0,4.73,4.71,2.96
1616,2.01,Ideal,J,SI2,60.8,57.0,8.15,8.13,4.95
1617,1.01,Very Good,E,VS1,62.6,57.0,6.28,6.37,3.96
1618,0.43,Premium,G,VS1,61.8,59.0,4.83,4.88,3.0
1619,2.14,Premium,G,SI2,60.7,59.0,8.37,8.31,5.06
1620,0.7,Ideal,G,VS2,62.7,54.0,5.66,5.7,3.56
1621,1.23,Ideal,D,VVS2,62.0,55.0,6.85,6.92,4.27
1622,1.07,Premium,H,VS2,62.1,59.0,6.56,6.52,4.06
1623,0.5,Very Good,D,SI1,63.5,57.0,5.04,5.1,3.22
1624,1.01,Ideal,D,SI2,61.6,57.0,6.32,6.45,3.93
1625,0.31,Premium,F,VVS1,59.9,59.0,4.45,4.43,2.66
1626,1.42,Ideal,H,SI1,62.0,56.0,7.17,7.22,4.46
1627,0.29,Fair,D,VS2,64.7,62.0,4.14,4.11,2.67
1628,0.41,Ideal,G,VS1,61.4,55.0,4.78,4.8,2.94
1629,1.5,Premium,F,SI2,60.8,59.0,7.3,7.36,4.46
1630,1.32,Premium,G,SI2,58.9,59.0,7.25,7.18,4.25
1631,0.71,Very Good,E,SI1,62.9,55.0,5.64,5.68,3.56
1632,0.7,Good,D,VS2,63.2,60.0,5.56,5.61,3.53
1633,0.3,Ideal,G,VVS2,61.8,57.0,4.29,4.32,2.66
1634,0.52,Very Good,F,SI2,57.9,61.0,5.28,5.33,3.07
1635,1.52,Very Good,D,VS2,63.4,59.0,7.32,7.24,4.61
1636,0.5,Very Good,G,SI1,62.8,55.0,5.03,5.07,3.17
1637,1.54,Ideal,F,VS1,60.5,56.0,7.52,7.49,4.54
1638,0.31,Ideal,I,VVS1,61.4,54.0,4.38,4.41,2.7
1639,0.39,Ideal,F,VVS2,61.9,54.8,4.68,4.69,2.9
1640,1.74,Premium,H,SI1,62.1,59.0,7.69,7.63,4.76
1641,1.08,Premium,I,SI1,62.2,58.0,6.6,6.56,4.09
1642,0.65,Very Good,G,SI1,62.0,58.0,5.5,5.58,3.43
1643,0.5,Good,E,VS1,61.0,61.0,5.07,5.12,3.11
1644,1.0,Good,I,SI1,58.0,58.0,6.56,6.62,3.82
1645,0.7,Good,H,SI1,63.7,57.0,5.58,5.57,3.55
1646,0.5,Very Good,F,SI2,62.9,57.0,5.02,5.06,3.17
1647,1.0,Fair,E,SI2,55.4,62.0,6.63,6.59,3.66
1648,1.09,Ideal,I,VS2,62.0,57.0,6.64,6.58,4.1
1649,0.96,Fair,H,I1,66.9,60.0,6.15,6.04,4.09
1650,2.0,Premium,G,SI2,60.1,62.0,8.07,8.0,4.83
1651,1.02,Ideal,F,VVS2,62.3,58.0,6.42,6.45,4.01
1652,1.01,Very Good,F,SI2,62.3,59.0,6.31,6.37,3.95
1653,0.28,Ideal,G,VVS1,61.8,55.0,4.19,4.23,2.6
1654,0.31,Ideal,G,IF,61.0,56.0,4.39,4.37,2.67
1655,0.31,Ideal,G,VVS1,62.0,54.0,4.38,4.39,2.72
1656,0.71,Premium,F,VS1,62.7,58.0,5.71,5.67,3.57
1657,1.2,Ideal,G,VS2,61.9,56.0,6.86,6.81,4.23
1658,2.11,Very Good,G,I1,63.2,57.0,8.13,8.07,5.12
1659,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26
1660,0.43,Ideal,G,IF,62.4,54.0,4.84,4.87,3.03
1661,1.55,Premium,H,VS2,60.7,59.0,7.46,7.5,4.54
1662,0.74,Premium,F,VS2,61.7,58.0,5.85,5.78,3.59
1663,0.93,Very Good,I,VS1,62.5,58.0,6.2,6.25,3.89
1664,0.35,Ideal,E,VS2,62.2,56.0,4.51,4.53,2.81
1665,1.21,Ideal,I,SI1,60.6,55.0,6.92,6.87,4.18
1666,1.05,Ideal,G,VVS1,61.2,57.0,6.54,6.57,4.01
1667,0.44,Ideal,E,VVS1,61.4,55.0,4.92,4.95,3.03
1668,1.06,Ideal,E,VS2,61.9,55.0,6.54,6.58,4.06
1669,0.4,Very Good,F,VVS1,61.9,59.0,4.71,4.75,2.93
1670,1.0,Ideal,E,VS2,62.0,55.0,6.42,6.38,3.97
1671,0.37,Ideal,G,VVS2,62.0,56.0,4.62,4.64,2.87
1672,1.74,Ideal,E,SI2,62.3,57.0,7.8,7.7,4.83
1673,0.52,Ideal,E,VS2,62.0,55.0,5.19,5.14,3.2
1674,1.01,Premium,F,VS2,59.3,62.0,6.48,6.44,3.83
1675,0.54,Very Good,D,SI2,63.2,57.0,5.19,5.16,3.27
1676,0.35,Ideal,H,IF,60.8,56.0,4.61,4.6,2.8
1677,1.17,Ideal,G,VS2,61.5,57.0,6.86,6.8,4.2
1678,1.58,Premium,G,VS2,62.6,59.0,7.47,7.44,4.67
1679,0.3,Premium,D,SI1,62.5,59.0,4.26,4.22,2.65
1680,0.31,Ideal,G,VS1,61.6,55.0,4.37,4.4,2.7
1681,1.04,Very Good,E,VVS2,62.8,58.0,6.42,6.45,4.04
1682,2.01,Premium,H,VS2,61.1,61.0,8.14,8.09,4.96
1683,0.27,Good,F,VVS1,61.7,61.0,4.1,4.14,2.54
1684,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7
1685,0.91,Very Good,E,SI2,62.8,61.0,6.07,6.09,3.82
1686,0.23,Very Good,F,VVS2,58.1,63.0,4.04,4.08,2.36
1687,1.51,Ideal,G,VVS2,62.3,55.0,7.29,7.35,4.56
1688,0.42,Very Good,F,SI2,61.5,59.0,4.81,4.85,2.97
1689,0.91,Fair,D,SI1,64.4,60.0,6.08,6.04,3.9
1690,0.39,Ideal,F,VS2,60.0,57.0,4.76,4.7,2.84
1691,0.51,Premium,D,VS2,59.7,58.0,5.24,5.18,3.11
1692,1.25,Very Good,J,VS1,61.8,58.0,6.89,6.93,4.27
1693,0.9,Very Good,F,SI1,61.6,56.0,6.14,6.2,3.8
1694,0.7,Very Good,J,VS1,59.6,62.0,5.7,5.77,3.42
1695,0.51,Ideal,G,VVS2,61.8,56.0,5.16,5.1,3.17
1696,1.04,Good,H,SI2,57.9,58.0,6.72,6.68,3.88
1697,0.54,Premium,D,VS2,61.6,56.0,5.24,5.18,3.21
1698,0.9,Premium,G,SI1,61.3,60.0,6.17,6.14,3.77
1699,0.31,Premium,G,VS1,61.2,60.0,4.33,4.3,2.64
1700,0.51,Ideal,F,VVS2,61.8,56.0,5.13,5.16,3.18
1701,0.34,Ideal,E,VVS1,61.8,57.0,4.47,4.5,2.77
1702,1.5,Premium,I,VVS1,62.4,60.0,7.32,7.29,4.56
1703,0.53,Ideal,D,SI2,60.4,57.0,5.3,5.26,3.19
1704,1.18,Ideal,E,VS1,62.4,54.0,6.79,6.74,4.22
1705,0.34,Premium,E,VS2,61.1,60.0,4.45,4.48,2.73
1706,0.7,Premium,F,SI2,58.8,58.0,5.82,5.77,3.41
1707,0.31,Ideal,G,VVS1,62.1,55.0,4.34,4.39,2.71
1708,0.63,Premium,E,VS2,62.4,59.0,5.5,5.46,3.42
1709,0.96,Very Good,G,SI2,62.6,59.0,6.18,6.29,3.9
1710,1.01,Good,D,VS1,62.2,62.0,6.29,6.41,3.95
1711,0.52,Very Good,F,VS2,60.7,59.0,5.14,5.18,3.13
1712,2.33,Premium,J,SI1,61.1,58.0,8.6,8.56,5.24
1713,0.3,Ideal,F,VVS1,61.7,57.0,4.28,4.31,2.65
1714,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55
1715,1.04,Very Good,G,VS2,62.3,54.0,6.49,6.55,4.06
1716,2.1,Very Good,G,SI2,63.4,58.0,8.19,8.12,5.17
1717,0.71,Ideal,G,VS1,61.0,57.0,5.77,5.74,3.51
1718,0.42,Ideal,G,VVS1,60.0,57.0,4.84,4.86,2.91
1719,0.93,Very Good,E,SI2,62.5,58.0,6.21,6.24,3.89
1720,0.5,Ideal,H,SI2,62.4,55.0,5.09,5.11,3.18
1721,0.4,Very Good,D,VS1,62.9,56.0,4.67,4.71,2.95
1722,0.53,Good,H,SI1,63.7,55.0,5.15,5.12,3.27
1723,1.02,Premium,H,VS2,61.2,58.0,6.5,6.47,3.97
1724,0.94,Ideal,F,SI2,60.6,54.0,6.39,6.34,3.86
1725,0.4,Ideal,E,SI2,61.8,55.2,4.75,4.77,2.94
1726,0.51,Ideal,D,VVS2,61.3,57.0,5.17,5.14,3.16
1727,0.33,Premium,H,VS2,62.0,59.0,4.44,4.4,2.74
1728,0.46,Very Good,G,VS1,60.0,56.0,5.05,5.1,3.04
1729,0.32,Ideal,G,VS1,62.0,55.0,4.43,4.44,2.75
1730,1.38,Premium,J,VS2,60.2,59.0,7.29,7.19,4.36
1731,0.4,Very Good,G,VS1,60.8,59.0,4.75,4.83,2.91
1732,0.36,Premium,J,SI1,61.6,60.0,4.54,4.58,2.81
1733,0.91,Very Good,F,SI1,62.3,60.0,6.08,6.15,3.81
1734,1.71,Ideal,D,SI1,60.3,60.0,7.69,7.77,4.66
1735,0.31,Ideal,F,IF,62.3,54.0,4.37,4.39,2.73
1736,0.33,Ideal,H,VVS1,60.2,60.0,4.49,4.52,2.71
1737,1.05,Fair,H,I1,61.8,57.0,6.51,6.4,3.99
1738,1.16,Good,H,SI1,64.2,58.6,6.61,6.66,4.26
1739,1.02,Very Good,G,VS2,60.9,56.0,6.47,6.51,3.95
1740,0.51,Very Good,E,VS2,64.1,57.0,5.02,5.06,3.23
1741,1.21,Good,H,VS1,59.5,65.0,6.88,6.84,4.08
1742,0.54,Ideal,E,VS1,62.6,55.0,5.2,5.22,3.26
1743,0.9,Premium,E,SI2,59.5,61.0,6.3,6.24,3.73
1744,0.26,Very Good,D,VS1,63.3,57.0,4.03,4.06,2.56
1745,1.5,Premium,H,SI2,61.5,58.0,7.38,7.32,4.52
1746,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06
1747,0.71,Premium,E,SI1,62.7,56.0,5.71,5.64,3.56
1748,0.41,Very Good,E,SI1,63.1,57.0,4.78,4.73,3.0
1749,0.38,Ideal,F,VVS1,60.9,57.0,4.73,4.69,2.87
1750,1.65,Very Good,H,VS1,62.0,54.0,7.55,7.62,4.7
1751,0.91,Ideal,E,SI1,60.8,57.0,6.27,6.29,3.82
1752,0.82,Ideal,H,VVS1,62.9,56.0,5.99,5.91,3.74
1753,0.41,Premium,E,SI1,62.4,58.0,4.77,4.75,2.97
1754,0.53,Ideal,H,VS1,61.2,56.0,5.26,5.21,3.2
1755,0.42,Ideal,E,VS2,61.8,57.0,4.77,4.81,2.96
1756,0.4,Premium,F,SI1,62.5,59.0,4.67,4.71,2.93
1757,0.55,Ideal,H,VS2,61.8,54.0,5.28,5.3,3.27
1758,1.51,Very Good,F,SI1,62.0,57.0,7.3,7.38,4.55
1759,1.11,Ideal,G,SI1,60.8,57.0,6.83,6.77,4.14
1760,0.39,Ideal,G,SI2,60.9,56.0,4.78,4.74,2.9
1761,2.02,Ideal,J,SI2,62.2,57.0,8.11,8.18,5.07
1762,1.13,Premium,I,SI2,59.9,57.0,6.8,6.76,4.06
1763,1.21,Ideal,G,SI1,62.1,57.0,6.79,6.83,4.23
1764,0.41,Very Good,E,SI1,63.3,57.0,4.72,4.67,2.98
1765,0.4,Ideal,H,VVS2,62.1,57.0,4.74,4.69,2.93
1766,1.36,Premium,H,VS2,61.9,58.0,7.15,7.09,4.41
1767,1.01,Good,G,SI2,63.7,59.0,6.31,6.38,4.04
1768,0.36,Ideal,E,VS2,62.1,55.0,4.58,4.54,2.83
1769,0.51,Premium,E,VS2,63.0,59.0,5.08,5.05,3.19
1770,0.65,Ideal,H,SI1,61.5,55.0,5.59,5.63,3.45
1771,1.13,Ideal,G,VS2,62.7,57.0,6.65,6.68,4.18
1772,0.53,Ideal,F,SI1,61.5,56.0,5.2,5.24,3.21
1773,0.52,Ideal,E,SI1,62.4,58.0,5.16,5.13,3.21
1774,1.01,Premium,F,SI2,61.3,60.0,6.43,6.4,3.93
1775,1.14,Premium,E,VVS2,59.7,58.0,6.91,6.83,4.1
1776,0.34,Ideal,I,IF,62.1,54.0,4.49,4.53,2.8
1777,0.4,Good,I,VVS1,63.5,57.0,4.65,4.68,2.96
1778,1.01,Good,G,SI1,59.8,61.0,6.45,6.49,3.87
1779,0.5,Fair,D,VS2,63.7,57.0,5.05,4.9,3.17
1780,2.02,Premium,I,VS1,60.5,62.0,8.18,8.15,4.94
1781,2.14,Premium,I,VS2,60.7,59.0,8.33,8.28,5.04
1782,0.5,Ideal,E,SI2,61.8,58.0,5.08,5.11,3.15
1783,1.0,Premium,G,VVS1,62.1,59.0,6.29,6.4,3.94
1784,1.72,Premium,F,SI1,62.4,60.0,7.67,7.62,4.77
1785,0.31,Ideal,E,VS1,61.8,56.0,4.37,4.34,2.69
1786,0.52,Ideal,G,VS1,62.7,56.0,5.14,5.16,3.23
1787,1.0,Premium,H,SI1,61.7,59.0,6.41,6.36,3.94
1788,0.29,Very Good,E,VS1,61.9,55.0,4.28,4.33,2.66
1789,0.5,Very Good,E,VS2,63.4,59.0,5.09,5.06,3.22
1790,0.3,Premium,J,VS1,62.7,59.0,4.28,4.24,2.67
1791,1.56,Premium,G,VS1,60.9,58.0,7.49,7.53,4.57
1792,1.27,Premium,F,VVS2,61.3,60.0,6.99,6.9,4.26
1793,0.32,Ideal,G,VVS1,62.3,56.0,4.38,4.41,2.73
1794,1.31,Ideal,J,SI1,62.5,56.0,6.95,7.04,4.37
1795,1.01,Very Good,G,VS1,63.5,59.0,6.36,6.31,4.02
1796,0.52,Ideal,D,VS2,61.8,56.0,5.17,5.15,3.19
1797,1.2,Good,G,VS1,63.6,58.0,6.59,6.56,4.18
1798,0.3,Premium,G,VS1,61.2,59.0,4.32,4.28,2.63
1799,2.02,Premium,H,VS2,62.7,53.0,8.02,7.95,0.0
1800,1.0,Very Good,G,VS1,62.4,57.0,6.38,6.41,3.99
1801,1.36,Premium,E,VVS2,59.8,59.0,7.12,7.2,4.38
1802,0.7,Ideal,H,VS2,61.1,57.0,5.71,5.74,3.5
1803,0.57,Ideal,G,VS1,59.3,57.0,5.42,5.45,3.23
1804,0.79,Premium,J,SI1,59.1,57.0,6.08,6.06,3.59
1805,0.3,Ideal,D,VS2,62.5,55.0,4.31,4.3,2.69
1806,1.5,Premium,D,VS2,61.8,60.0,7.3,7.37,4.53
1807,1.04,Very Good,I,I1,61.6,61.0,6.45,6.47,3.98
1808,0.7,Ideal,F,SI1,61.8,53.0,5.7,5.75,3.54
1809,1.51,Very Good,H,VS2,62.3,61.0,7.27,7.3,4.54
1810,0.41,Ideal,G,VS2,62.2,57.0,4.71,4.74,2.94
1811,1.56,Very Good,J,SI1,59.6,58.0,7.55,7.59,4.51
1812,0.9,Premium,G,SI1,60.6,60.0,6.22,6.15,3.75
1813,1.25,Ideal,H,VS2,61.1,55.0,6.94,6.97,4.25
1814,0.62,Ideal,H,VVS1,61.1,56.0,5.48,5.52,3.36
1815,0.3,Ideal,E,VS2,61.3,57.0,4.29,4.33,2.64
1816,1.31,Premium,H,SI2,60.8,58.0,7.13,7.08,4.32
1817,1.01,Premium,D,SI2,61.8,57.0,6.47,6.42,3.98
1818,0.6,Premium,E,SI2,62.0,59.0,5.41,5.37,3.34
1819,0.52,Ideal,D,VS2,61.8,57.0,5.16,5.2,3.2
1820,1.01,Ideal,I,VS2,62.6,54.0,6.4,6.45,4.02
1821,0.54,Premium,E,SI1,61.4,60.0,5.21,5.25,3.21
1822,2.19,Premium,H,SI2,61.7,58.0,8.38,8.28,5.14
1823,1.23,Ideal,H,SI2,60.6,57.0,6.98,6.94,4.22
1824,0.51,Premium,H,SI1,60.6,59.0,5.17,5.13,3.12
1825,1.03,Good,D,SI2,63.8,54.0,6.36,6.3,4.04
1826,0.26,Very Good,F,VS1,60.5,59.0,4.12,4.18,2.51
1827,1.07,Ideal,H,VS2,61.8,56.0,6.52,6.55,4.04
1828,1.01,Good,G,VS2,62.7,60.0,6.27,6.32,3.95
1829,0.31,Ideal,F,VS2,62.8,56.0,4.32,4.28,2.7
1830,2.01,Good,I,VS1,62.5,56.0,7.96,8.0,4.99
1831,1.0,Premium,D,SI1,60.3,59.0,6.47,6.44,3.89
1832,1.0,Good,G,SI2,59.7,63.0,6.43,6.5,3.86
1833,0.52,Ideal,E,VS2,62.6,57.0,5.09,5.17,3.21
1834,1.01,Very Good,H,SI2,63.5,58.0,6.29,6.37,4.02
1835,2.05,Fair,I,VS1,67.7,58.0,7.74,7.68,5.22
1836,1.05,Ideal,F,SI2,61.9,56.0,6.48,6.5,4.02
1837,0.5,Ideal,F,VS2,61.1,58.0,5.1,5.13,3.13
1838,0.31,Ideal,E,VS2,61.7,55.0,4.39,4.36,2.7
1839,1.74,Good,I,SI2,60.1,64.0,7.82,7.71,4.67
1840,0.4,Premium,F,VS2,61.0,58.0,4.79,4.72,2.9
1841,0.56,Ideal,F,SI1,62.3,55.0,5.27,5.32,3.3
1842,1.15,Ideal,D,VS2,61.0,57.0,6.76,6.78,4.13
