index,carat,cut,color,clarity,depth,table,x,y,z,price
2840,0.39,Premium,D,VS2,61.4,60.0,4.7,4.72,2.89,958
2841,1.12,Very Good,F,SI2,61.5,58.0,6.63,6.68,4.09,4953
2842,0.39,Very Good,J,VS1,61.0,62.0,4.66,4.71,2.86,616
2843,0.98,Premium,H,I1,59.6,60.0,6.61,6.48,3.89,2046
2844,0.82,Ideal,D,SI2,62.1,57.0,6.04,6.0,3.74,3357
2845,1.24,Ideal,H,VS1,63.0,55.0,6.84,6.81,4.3,5055
2846,0.46,Ideal,E,SI1,62.0,54.0,4.97,4.99,3.09,905
2847,0.79,Ideal,I,SI1,60.5,58.0,5.97,5.99,3.62,2539
2848,1.5,Ideal,G,SI2,60.5,57.0,7.4,7.43,4.49,10543
2849,0.57,Ideal,D,VS2,61.8,55.0,5.32,5.34,3.29,1981
2850,2.14,Premium,H,VS2,61.7,58.0,8.28,8.22,5.09,16390
2851,0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,2768
2852,0.55,Very Good,G,VS1,62.8,57.0,5.2,5.21,3.27,1743
2853,0.37,Premium,E,VS2,61.5,58.0,4.66,4.61,2.85,1041
2854,1.5,Premium,E,SI1,61.4,59.0,7.41,7.24,4.5,11638
2855,0.5,Premium,F,SI1,62.4,57.0,5.13,5.1,3.19,1838
2856,1.62,Ideal,E,VS2,61.4,57.0,7.58,7.54,4.64,16507
2857,0.53,Ideal,G,SI1,62.7,55.0,5.15,5.19,3.24,1308
2858,0.33,Ideal,D,VS2,62.3,57.0,4.41,4.45,2.76,781
2859,0.51,Good,H,VS2,61.8,65.0,5.07,5.02,3.12,1128
2860,0.71,Ideal,D,VS2,61.2,56.0,5.76,5.78,3.53,3135
2861,1.29,Ideal,G,SI1,60.9,59.0,6.99,7.04,4.27,7463
2862,1.08,Premium,G,VS2,59.4,59.0,6.68,6.75,3.99,6415
2863,0.33,Ideal,H,VS2,60.7,57.0,4.48,4.45,2.71,668
2864,0.28,Ideal,F,VVS2,61.5,57.0,4.19,4.24,2.59,787
2865,0.33,Premium,G,VVS1,60.9,58.0,4.47,4.43,2.71,1114
2866,0.9,Good,D,VS2,57.7,61.0,6.34,6.32,3.65,4717
2867,1.17,Good,G,SI2,63.6,62.0,6.65,6.55,4.2,4010
2868,2.14,Premium,I,SI2,62.1,58.0,8.31,8.23,5.13,12970
2869,0.31,Good,F,VS1,63.9,55.0,4.3,4.27,2.74,779
2870,0.39,Ideal,G,IF,61.6,56.0,4.69,4.73,2.9,1201
2871,1.09,Very Good,F,SI2,58.5,59.0,6.75,6.8,3.96,4113
2872,0.9,Very Good,G,SI1,62.9,54.0,6.14,6.16,3.87,4401
2873,1.0,Fair,H,VS1,65.4,61.0,6.22,6.17,4.05,4368
2874,1.42,Ideal,J,VVS2,61.9,55.0,7.19,7.24,4.47,7773
2875,0.41,Ideal,F,VVS2,61.4,56.0,4.81,4.76,2.94,1192
2876,0.53,Ideal,E,VS2,61.9,56.0,5.21,5.19,3.22,1813
2877,1.51,Very Good,E,SI2,60.6,58.0,7.41,7.43,4.5,8916
2878,2.01,Good,E,SI2,60.0,64.0,8.09,8.17,4.88,16582
2879,1.63,Premium,I,VS2,61.0,60.0,7.62,7.59,4.64,10479
2880,0.7,Very Good,F,VS2,62.4,57.0,5.63,5.69,3.53,2362
2881,0.5,Fair,E,VS1,56.1,64.0,5.31,5.28,2.97,1950
2882,1.11,Premium,I,VS2,60.4,58.0,6.79,6.73,4.08,4942
2883,1.03,Very Good,H,SI1,63.5,53.0,6.43,6.46,4.09,4573
2884,1.55,Very Good,D,SI2,58.9,57.0,7.59,7.63,4.48,11284
2885,0.3,Premium,G,VS1,61.8,60.0,4.29,4.32,2.66,605
2886,0.42,Ideal,F,SI1,60.9,55.0,4.88,4.84,2.96,992
2887,2.07,Ideal,J,VVS2,62.7,54.0,8.12,8.17,5.11,16617
2888,0.32,Premium,I,VVS2,60.7,59.0,4.43,4.4,2.68,720
2889,0.23,Very Good,E,VVS1,58.6,61.0,4.02,4.04,2.36,530
2890,1.52,Premium,J,VS1,62.2,59.0,7.32,7.38,4.57,8426
2891,0.41,Premium,G,VS2,59.2,58.0,4.83,4.8,2.85,1061
2892,1.21,Ideal,G,SI2,62.0,56.0,6.83,6.81,4.23,6017
2893,1.03,Ideal,G,SI1,60.9,57.0,6.54,6.5,3.97,4900
2894,0.55,Very Good,E,VVS2,60.8,55.0,5.26,5.33,3.22,2238
2895,0.31,Very Good,I,VVS1,62.2,60.0,4.3,4.32,2.68,571
2896,1.01,Premium,H,SI1,63.0,60.0,6.36,6.33,4.0,4642
2897,1.0,Fair,G,VVS2,66.9,55.0,6.2,6.17,4.14,4534
2898,0.44,Ideal,D,SI1,62.4,57.0,4.86,4.89,3.04,883
2899,1.09,Very Good,E,SI2,60.9,59.0,6.61,6.75,4.07,5035
2900,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,5412
2901,0.72,Very Good,D,SI2,61.3,59.0,5.74,5.78,3.53,2692
2902,0.28,Very Good,D,VVS1,60.4,59.0,4.23,4.25,2.56,642
2903,1.69,Good,G,VS1,58.1,58.0,7.8,7.84,4.54,17338
2904,1.21,Premium,J,SI1,62.7,57.0,6.77,6.72,4.23,4391
2905,0.7,Fair,E,SI1,66.7,59.0,5.49,5.45,3.65,2241
2906,0.24,Very Good,F,VVS1,60.6,60.0,4.03,4.06,2.45,478
2907,0.31,Fair,F,VVS1,63.1,61.0,4.32,4.37,2.74,740
2908,2.01,Good,I,SI1,64.1,62.0,7.85,7.94,5.06,13464
2909,0.32,Ideal,D,VS2,59.8,57.0,4.51,4.46,2.68,907
2910,1.0,Good,G,VS2,56.6,61.0,6.65,6.61,3.75,5484
2911,0.35,Premium,F,VS2,62.1,60.0,4.51,4.45,2.78,906
2912,0.23,Very Good,E,VVS1,60.9,58.0,3.95,3.96,2.41,530
2913,1.7,Very Good,H,SI2,60.8,56.0,7.67,7.72,4.68,10255
2914,1.2,Very Good,H,SI2,62.9,56.0,6.74,6.77,4.25,5257
2915,0.51,Ideal,E,SI1,61.7,55.0,5.13,5.17,3.18,1343
2916,1.5,Very Good,H,SI2,61.3,59.0,7.38,7.41,4.53,7774
2917,0.5,Good,G,SI1,60.2,64.0,5.11,5.04,3.05,1138
2918,0.91,Ideal,D,VS1,62.3,59.0,6.16,6.19,3.85,6652
2919,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1047
2920,1.1,Very Good,H,SI1,61.6,56.0,6.61,6.66,4.09,4827
2921,0.4,Premium,G,VS1,60.7,58.0,4.81,4.78,2.91,1125
2922,0.91,Very Good,G,SI1,62.8,58.0,6.15,6.18,3.87,4045
2923,0.54,Premium,G,VS2,58.7,62.0,5.36,5.34,3.14,1637
2924,0.61,Premium,D,VS1,62.4,57.0,5.46,5.44,3.4,2207
2925,1.08,Very Good,E,SI2,63.4,56.0,6.55,6.5,4.14,4857
2926,0.34,Premium,I,VVS2,61.3,57.0,4.52,4.49,2.76,765
2927,1.59,Premium,H,SI1,60.6,60.0,7.59,7.53,4.58,10542
2928,0.83,Ideal,G,SI2,62.4,54.0,6.01,6.08,3.77,2751
2929,0.7,Ideal,F,SI1,61.8,54.0,5.71,5.75,3.54,2635
2930,1.71,Premium,I,SI2,59.0,60.0,7.86,7.83,4.63,8366
2931,1.03,Premium,G,SI1,59.5,60.0,6.6,6.54,3.91,5791
2932,0.9,Premium,I,SI1,62.1,59.0,6.2,6.17,3.84,3468
2933,0.38,Very Good,E,VS2,61.2,56.0,4.67,4.71,2.87,740
2934,0.7,Good,H,VS2,63.9,59.0,5.6,5.64,3.59,2330
2935,0.3,Premium,F,VVS2,61.4,59.0,4.31,4.36,2.66,737
2936,1.06,Premium,D,SI2,62.5,56.0,6.61,6.47,4.09,5393
2937,1.02,Ideal,H,I1,62.1,56.0,6.45,6.4,3.99,3987
2938,0.3,Premium,H,VVS1,62.3,58.0,4.32,4.29,2.68,878
2939,0.58,Ideal,F,VS1,60.4,57.0,5.42,5.37,3.26,2245
2940,0.5,Good,F,SI1,57.9,62.0,5.21,5.18,3.01,1231
2941,0.41,Ideal,E,VS1,61.3,55.0,4.8,4.83,2.95,990
2942,0.92,Ideal,G,VS2,62.6,56.0,6.2,6.17,3.87,4405
2943,0.9,Ideal,D,SI1,61.9,55.0,6.22,6.18,3.84,4435
2944,1.01,Good,G,VS2,63.8,57.0,6.27,6.34,4.02,5279
2945,1.07,Ideal,G,SI2,61.7,57.0,6.55,6.59,4.05,4421
2946,0.41,Ideal,D,VVS1,60.6,57.0,4.82,4.79,2.91,1582
2947,2.01,Very Good,E,SI2,61.2,58.0,8.05,8.07,4.93,14813
2948,0.31,Premium,H,IF,61.7,58.0,4.33,4.36,2.68,816
2949,0.72,Very Good,G,SI2,60.6,61.0,5.73,5.79,3.49,2114
2950,1.0,Very Good,E,SI2,60.6,60.0,6.33,6.4,3.86,4576
2951,1.15,Very Good,H,SI2,63.0,54.0,6.64,6.73,4.21,4483
2952,1.27,Very Good,H,VS1,60.7,54.0,7.01,7.05,4.27,8235
2953,0.91,Good,G,SI2,63.3,57.0,6.08,6.12,3.86,3340
2954,1.2,Fair,J,SI1,65.2,58.0,6.67,6.58,4.32,4838
2955,0.4,Good,D,SI2,63.8,54.0,4.7,4.73,3.01,622
2956,0.7,Ideal,H,VS2,61.2,56.0,5.72,5.75,3.51,3145
2957,0.4,Good,E,SI1,63.8,56.0,4.7,4.74,3.01,687
2958,2.0,Ideal,H,SI1,61.8,57.0,8.1,8.15,5.02,18062
2959,0.3,Ideal,F,IF,61.8,54.0,4.34,4.37,2.69,886
2960,0.3,Premium,I,IF,60.5,59.0,4.34,4.32,2.62,810
2961,1.29,Ideal,I,SI1,61.9,56.0,6.97,7.03,4.33,6372
2962,1.03,Very Good,F,SI1,62.5,59.0,6.41,6.45,4.02,4282
2963,1.7,Ideal,H,VS1,62.8,57.0,7.57,7.47,4.72,14266
2964,0.33,Premium,I,VVS2,61.4,58.0,4.45,4.48,2.74,579
2965,1.35,Premium,H,VS2,62.2,56.0,7.13,7.08,4.42,8062
2966,0.44,Ideal,G,VS1,61.9,54.0,4.89,4.93,3.04,915
2967,0.4,Very Good,E,SI1,63.2,58.0,4.7,4.66,2.96,882
2968,0.53,Ideal,I,SI1,61.5,54.0,5.22,5.26,3.22,1038
2969,0.56,Premium,D,SI1,60.6,59.0,5.36,5.34,3.24,1814
2970,0.37,Premium,E,VS2,58.9,61.0,4.68,4.66,2.75,1041
2971,0.77,Premium,E,SI2,61.3,55.0,5.9,5.85,3.6,2723
2972,0.31,Good,E,SI1,63.4,57.0,4.31,4.33,2.74,544
2973,1.74,Ideal,H,VS2,61.5,55.0,7.79,7.73,4.77,13761
2974,1.26,Ideal,G,VVS2,60.7,56.0,7.05,7.03,4.27,10556
2975,0.83,Good,J,SI1,63.8,58.0,5.97,5.95,3.8,2311
2976,0.37,Very Good,E,VS2,61.8,59.0,4.56,4.6,2.83,811
2977,1.19,Ideal,H,I1,60.3,57.0,6.93,6.83,4.15,3864
2978,0.7,Very Good,E,SI2,62.0,60.0,5.67,5.72,3.53,2257
2979,1.0,Good,E,VS1,63.6,59.0,6.35,6.32,4.03,7392
2980,0.9,Very Good,F,SI2,60.3,57.0,6.27,6.34,3.8,3519
2981,1.5,Very Good,G,VS1,62.4,57.0,7.24,7.31,4.54,13379
2982,0.31,Ideal,I,VVS1,61.6,55.0,4.36,4.41,2.7,557
2983,1.02,Premium,F,SI1,58.4,59.0,6.65,6.57,3.86,4855
2984,1.09,Ideal,G,VVS2,61.5,57.0,6.62,6.65,4.08,8970
2985,0.51,Ideal,G,VS1,62.1,55.0,5.14,5.17,3.2,1656
2986,2.0,Very Good,E,SI2,63.4,60.0,7.97,7.92,5.04,14763
2987,0.32,Ideal,F,VS1,61.9,56.0,4.4,4.35,2.71,900
2988,0.5,Ideal,G,SI2,61.0,57.0,5.13,5.15,3.13,1127
2989,0.31,Ideal,D,VS2,61.3,57.0,4.37,4.4,2.69,734
2990,1.2,Very Good,J,SI2,61.8,60.0,6.76,6.83,4.2,4580
2991,1.7,Ideal,I,VVS2,61.7,57.0,7.67,7.62,4.71,13247
2992,0.38,Premium,I,VS1,61.3,60.0,4.65,4.62,2.84,898
2993,0.31,Premium,F,VS2,62.3,59.0,4.33,4.3,2.69,802
2994,1.2,Very Good,F,SI1,63.5,57.0,6.65,6.74,4.25,6872
2995,0.3,Ideal,G,VS2,62.0,56.0,4.29,4.32,2.67,503
2996,1.71,Very Good,H,VS1,63.5,59.0,7.59,7.52,4.8,9974
2997,0.33,Ideal,G,VS2,61.2,55.0,4.49,4.46,2.74,743
2998,0.3,Premium,E,SI1,60.0,60.0,4.38,4.36,2.62,675
2999,1.5,Good,H,VS2,63.9,60.0,7.17,7.22,4.6,10692
3000,1.5,Good,F,VS2,63.6,55.0,7.27,7.22,4.61,13853
3001,1.51,Premium,F,SI1,62.2,58.0,7.32,7.27,4.54,11374
3002,1.21,Premium,I,SI1,61.6,56.0,6.89,6.85,4.23,5760
3003,0.74,Premium,G,SI1,58.3,58.0,5.97,5.93,3.47,2131
3004,0.58,Very Good,F,VS2,63.0,59.0,5.27,5.39,3.36,1667
3005,0.7,Very Good,I,VVS1,61.2,58.0,5.65,5.72,3.48,2513
3006,0.38,Ideal,H,VS1,60.6,57.0,4.73,4.7,2.85,1117
3007,0.92,Ideal,H,SI2,60.5,57.0,6.3,6.29,3.81,3854
3008,0.34,Ideal,E,VVS1,62.2,54.0,4.52,4.55,2.82,973
3009,0.77,Premium,E,SI2,61.7,61.0,5.93,5.9,3.65,2614
3010,1.01,Very Good,D,SI2,62.9,60.0,6.35,6.46,4.03,4760
3011,1.08,Ideal,G,SI2,62.2,56.0,6.59,6.56,4.09,4627
3012,0.96,Fair,H,SI2,67.6,63.0,5.99,5.84,4.01,2672
3013,0.31,Ideal,G,VVS1,62.5,57.0,4.36,4.31,2.71,1046
3014,0.4,Ideal,F,VVS1,61.3,56.0,4.73,4.76,2.91,1263
3015,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1343
3016,0.33,Ideal,G,VVS1,62.3,55.0,4.43,4.46,2.77,868
3017,0.38,Ideal,I,VVS1,60.6,58.0,4.69,4.71,2.85,744
3018,0.54,Very Good,D,VS2,61.1,59.0,5.25,5.29,3.22,1583
3019,0.41,Premium,E,VS1,62.3,59.0,4.74,4.76,2.96,1079
3020,2.02,Premium,I,SI1,62.1,58.0,8.1,8.04,5.01,11119
3021,1.22,Ideal,F,VS2,61.3,56.0,6.87,6.92,4.23,9203
3022,1.06,Ideal,I,VVS1,60.2,57.0,6.62,6.66,4.0,6945
3023,0.36,Ideal,G,VVS2,62.3,56.0,4.56,4.53,2.83,1053
3024,0.3,Ideal,E,VVS2,61.8,56.0,4.33,4.31,2.67,1013
3025,1.13,Ideal,G,VS1,61.0,58.0,6.71,6.74,4.1,7687
3026,0.31,Good,I,VS1,63.9,55.0,4.28,4.3,2.74,457
3027,0.36,Ideal,F,IF,62.2,55.0,4.62,4.57,2.86,1215
3028,0.31,Very Good,G,VS2,58.8,62.0,4.4,4.41,2.59,471
3029,0.72,Very Good,J,SI1,63.0,58.0,5.67,5.7,3.58,1989
3030,0.9,Ideal,H,VS1,61.2,57.0,6.28,6.24,3.83,4064
3031,1.08,Premium,D,VS1,61.0,59.0,6.66,6.61,4.05,8999
3032,0.3,Ideal,D,SI1,62.4,54.0,4.32,4.34,2.7,508
3033,0.32,Ideal,E,VS1,61.6,57.0,4.39,4.35,2.69,972
3034,0.51,Good,E,VS2,63.1,59.0,5.04,5.07,3.19,1436
3035,0.23,Very Good,E,VVS1,61.3,58.0,3.94,3.96,2.42,472
3036,0.27,Very Good,F,IF,59.4,61.0,4.23,4.26,2.52,567
3037,1.23,Premium,F,VS2,60.8,59.0,6.94,6.9,4.21,9122
3038,0.3,Ideal,F,VVS1,61.6,58.0,4.27,4.3,2.64,814
3039,1.2,Premium,H,SI2,62.4,61.0,6.81,6.78,4.24,5040
3040,1.03,Very Good,D,SI2,63.3,58.0,6.38,6.42,4.05,4963
3041,1.05,Premium,E,VS2,62.6,59.0,6.5,6.43,4.05,5645
3042,0.5,Very Good,E,SI2,58.0,63.0,5.22,5.19,3.02,1009
3043,1.0,Ideal,G,VVS2,61.1,58.0,6.43,6.47,3.94,9294
3044,1.2,Premium,I,VS2,62.6,61.0,6.76,6.68,4.21,5645
3045,0.3,Premium,J,SI2,59.3,61.0,4.43,4.38,2.61,405
3046,1.51,Premium,E,VS2,62.2,59.0,7.36,7.4,4.59,14709
3047,0.41,Very Good,F,VS1,62.1,60.0,4.72,4.75,2.94,889
3048,1.15,Very Good,I,SI2,62.0,58.0,6.69,6.73,4.16,4405
3049,0.9,Premium,G,VS2,60.2,59.0,6.28,6.22,3.76,4424
3050,0.7,Good,H,VVS2,63.7,54.0,5.72,5.62,3.61,2427
3051,0.43,Very Good,F,VS1,61.0,57.0,4.84,4.89,2.97,1056
3052,0.3,Ideal,D,VVS1,61.8,55.0,4.33,4.35,2.68,933
3053,0.5,Premium,D,VS2,61.2,60.0,5.12,5.08,3.12,1845
3054,0.72,Very Good,G,SI2,60.6,57.0,5.79,5.86,3.53,2114
3055,1.01,Very Good,F,IF,59.2,60.0,6.48,6.59,3.87,10800
3056,0.56,Ideal,G,IF,61.8,56.0,5.28,5.34,3.28,2442
3057,0.37,Ideal,I,VS1,60.8,56.0,4.67,4.71,2.85,603
3058,0.7,Good,F,SI2,64.1,59.0,5.53,5.58,3.56,2390
3059,0.57,Good,F,VS1,58.3,61.0,5.49,5.54,3.21,1741
3060,0.52,Ideal,G,VVS2,61.2,55.0,5.22,5.2,3.19,1878
3061,0.73,Ideal,E,VS1,62.3,56.0,5.8,5.75,3.6,3311
3062,0.31,Premium,H,VS2,62.2,58.0,4.31,4.34,2.69,489
3063,1.0,Fair,H,SI1,56.3,63.0,6.63,6.61,3.73,4150
3064,1.5,Very Good,D,SI1,60.7,62.0,7.3,7.33,4.44,11442
3065,0.3,Ideal,G,VVS2,61.8,57.0,4.31,4.33,2.67,850
3066,2.64,Ideal,H,SI2,62.3,55.0,8.88,8.83,5.52,17407
3067,2.01,Premium,H,VS2,62.8,58.0,7.99,7.9,4.99,13342
3068,1.02,Premium,H,SI2,62.7,59.0,6.41,6.34,4.0,4455
3069,0.7,Premium,F,VVS1,62.4,56.0,5.69,5.63,3.53,3300
3070,1.91,Premium,I,SI1,63.0,59.0,7.91,7.87,4.97,13367
3071,0.51,Ideal,F,VS1,61.7,55.0,5.13,5.17,3.18,1728
3072,0.72,Very Good,I,VVS1,62.8,56.0,5.69,5.75,3.59,2562
3073,0.34,Ideal,F,IF,60.7,57.0,4.5,4.53,2.74,1074
3074,0.87,Very Good,J,SI1,63.1,60.0,6.03,5.96,3.78,2379
3075,0.27,Ideal,G,VS2,61.6,54.0,4.17,4.2,2.58,490
3076,0.32,Ideal,G,VVS2,61.7,57.0,4.44,4.41,2.73,936
3077,0.52,Ideal,H,VS2,60.3,57.0,5.21,5.23,3.15,1593
3078,0.39,Very Good,G,VS2,62.4,56.0,4.64,4.68,2.91,787
3079,0.42,Ideal,F,VVS2,60.6,57.0,4.85,4.82,2.93,1221
3080,0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,1621
3081,1.52,Ideal,G,SI1,63.0,55.0,7.31,7.38,4.63,11510
3082,0.51,Ideal,E,VS2,61.8,56.0,5.14,5.12,3.17,1781
3083,2.5,Ideal,J,SI2,63.8,53.0,8.56,8.5,5.45,15246
3084,1.7,Ideal,H,VS2,62.2,57.0,7.63,7.67,4.76,13632
3085,0.35,Ideal,D,VS2,60.7,56.0,4.56,4.6,2.78,829
3086,2.0,Fair,G,SI2,66.5,56.0,7.75,7.7,5.14,14208
3087,0.71,Premium,G,SI1,62.5,58.0,5.66,5.61,3.52,2613
3088,0.27,Ideal,F,VVS2,61.4,57.0,4.17,4.2,2.57,620
3089,0.31,Good,D,SI1,63.5,55.0,4.27,4.3,2.72,571
3090,0.41,Ideal,G,VS2,62.2,57.0,4.75,4.77,2.96,891
3091,0.3,Ideal,G,VS2,62.3,58.0,4.26,4.28,2.66,545
3092,0.52,Ideal,F,SI1,62.0,53.0,5.16,5.2,3.21,1223
3093,0.41,Premium,G,VS2,62.6,59.0,4.76,4.73,2.97,1061
3094,0.73,Premium,D,VS1,60.0,58.0,5.9,5.86,3.53,3557
3095,0.3,Premium,E,VS2,60.0,58.0,4.4,4.37,2.63,844
3096,0.33,Ideal,E,VS1,61.5,54.0,4.46,4.49,2.75,806
3097,0.5,Good,G,VS2,57.9,61.0,5.23,5.2,3.02,1415
3098,1.05,Premium,E,SI1,61.8,56.0,6.57,6.5,4.04,5821
3099,1.24,Very Good,F,VVS2,59.0,58.0,6.98,7.03,4.13,11234
3100,1.32,Premium,H,VS2,61.5,59.0,7.04,7.01,4.32,6505
3101,0.32,Ideal,D,VVS2,62.2,56.0,4.41,4.37,2.73,1014
3102,0.54,Ideal,G,VS1,62.1,55.1,5.2,5.23,3.23,1745
3103,0.63,Premium,E,SI2,58.5,61.0,5.64,5.58,3.28,1775
3104,0.31,Ideal,G,IF,61.6,54.0,4.36,4.4,2.7,853
3105,1.25,Very Good,H,VS2,60.3,54.0,7.0,7.03,4.23,7414
3106,0.52,Ideal,H,SI2,61.0,55.0,5.22,5.19,3.18,1065
3107,2.0,Good,J,SI2,61.5,61.0,7.97,8.06,4.93,11036
3108,1.13,Ideal,I,VS2,62.3,56.0,6.63,6.73,4.16,4940
3109,1.93,Premium,H,VS1,60.5,60.0,7.98,8.06,4.85,16941
3110,0.9,Very Good,H,SI2,59.5,63.0,6.31,6.26,3.74,3105
3111,0.3,Premium,E,VVS2,61.4,58.0,4.28,4.25,2.62,1013
3112,0.24,Premium,G,VVS1,62.3,59.0,3.95,3.92,2.45,554
3113,0.61,Ideal,F,VS1,61.9,57.0,5.42,5.46,3.37,2246
3114,0.41,Premium,E,SI2,62.1,58.0,4.77,4.73,2.95,876
3115,2.44,Premium,I,SI2,61.4,56.0,8.74,8.7,5.35,13027
3116,0.5,Premium,E,SI1,61.4,58.0,5.17,5.09,3.15,1155
3117,0.35,Ideal,F,VS2,62.6,56.0,4.49,4.52,2.82,706
3118,0.76,Premium,E,SI1,58.3,62.0,6.12,5.95,3.52,2937
3119,1.32,Very Good,I,SI1,62.1,57.0,6.99,7.09,4.37,6810
3120,1.01,Premium,E,VS1,62.0,59.0,6.38,6.42,3.97,7821
3121,1.53,Ideal,J,SI1,62.2,58.0,7.35,7.37,4.58,7721
3122,1.55,Premium,H,VS2,60.4,60.0,7.44,7.39,4.48,11149
3123,0.91,Good,E,VS2,63.1,58.0,6.13,6.19,3.89,4345
3124,0.93,Good,G,SI1,63.8,58.0,6.14,6.09,3.9,4375
3125,0.87,Very Good,D,SI1,60.2,60.0,6.12,6.17,3.7,3664
3126,0.97,Very Good,H,SI1,62.8,55.0,6.25,6.3,3.94,4404
3127,0.58,Premium,E,VS2,59.6,59.0,5.43,5.38,3.22,2192
3128,0.4,Premium,F,VS1,60.4,61.0,4.77,4.74,2.87,1050
3129,0.7,Ideal,E,VS2,60.5,59.0,5.72,5.75,3.47,3201
3130,0.32,Ideal,F,IF,61.8,54.0,4.44,4.46,2.75,943
3131,1.13,Ideal,H,SI1,61.3,57.0,6.72,6.7,4.11,4556
3132,2.03,Good,I,SI2,63.8,63.0,7.89,7.84,5.02,9651
3133,1.01,Ideal,G,VS1,61.8,58.0,6.4,6.42,3.96,7178
3134,0.27,Ideal,E,VS2,60.8,56.0,4.25,4.23,2.58,537
3135,0.34,Ideal,E,SI1,61.0,57.0,4.51,4.48,2.74,765
3136,0.36,Ideal,D,SI1,60.3,56.0,4.61,4.65,2.79,663
3137,0.74,Premium,E,VS1,61.1,58.0,5.81,5.84,3.56,3462
3138,1.0,Good,G,SI1,62.2,65.0,6.28,6.22,3.89,3965
3139,2.12,Premium,I,VS2,61.5,58.0,8.3,8.26,5.09,17254
3140,0.75,Ideal,I,VS1,61.9,54.1,5.82,5.85,3.61,2564
3141,0.3,Very Good,G,SI1,62.7,58.0,4.22,4.27,2.66,447
3142,0.55,Premium,G,SI1,61.3,59.0,5.28,5.23,3.22,1415
3143,0.53,Ideal,D,VS2,61.2,55.0,5.25,5.21,3.2,1956
3144,1.11,Ideal,E,SI2,62.8,55.0,6.62,6.6,4.15,5004
3145,0.55,Ideal,G,VVS2,61.9,56.0,5.23,5.27,3.25,2022
3146,0.32,Ideal,D,VS2,61.3,56.0,4.4,4.44,2.71,719
3147,0.3,Premium,G,VS1,62.9,58.0,4.32,4.27,2.7,776
3148,1.51,Very Good,F,VS2,62.5,58.0,7.22,7.33,4.55,14165
3149,0.32,Very Good,E,SI1,63.5,56.0,4.38,4.34,2.77,672
3150,0.3,Ideal,E,VVS2,60.9,57.0,4.32,4.35,2.64,786
3151,0.54,Good,D,SI1,63.7,57.0,5.22,5.14,3.3,1263
3152,1.51,Ideal,G,VS1,61.1,57.0,7.38,7.41,4.52,14542
3153,0.57,Ideal,E,VVS1,61.8,56.0,5.33,5.35,3.3,2739
3154,0.75,Very Good,F,VS1,57.9,62.0,5.96,6.0,3.46,3268
3155,0.81,Ideal,H,IF,61.6,58.0,5.98,6.01,3.69,4111
3156,0.51,Premium,D,SI1,61.6,58.0,5.14,5.12,3.16,1687
3157,1.03,Premium,F,SI2,61.4,57.0,6.6,6.53,4.03,4586
3158,0.34,Ideal,D,VS2,61.4,55.0,4.51,4.54,2.78,967
3159,0.3,Ideal,H,VVS2,61.6,55.0,4.34,4.3,2.66,776
3160,1.05,Ideal,I,SI1,62.1,59.0,6.5,6.47,4.03,4516
3161,1.03,Premium,E,SI2,61.4,58.0,6.49,6.45,3.97,4328
3162,2.16,Premium,J,VVS1,61.5,58.0,8.36,8.26,5.11,17891
3163,0.5,Good,G,VS2,59.3,65.0,5.1,5.12,3.03,1259
3164,0.3,Very Good,D,VS2,62.0,59.0,4.22,4.27,2.63,710
3165,0.33,Ideal,G,SI1,61.6,56.0,4.43,4.47,2.74,506
3166,0.54,Premium,G,SI1,61.1,57.0,5.27,5.21,3.2,1241
3167,0.3,Very Good,D,SI1,63.3,55.0,4.31,4.28,2.72,709
3168,0.71,Ideal,E,VS1,59.7,57.0,5.84,5.86,3.49,3272
3169,0.85,Ideal,D,VS2,61.9,55.0,6.07,6.14,3.78,3821
3170,0.25,Premium,H,VVS1,59.8,59.0,4.09,4.07,2.44,577
3171,2.0,Premium,I,SI2,61.3,59.0,8.13,8.09,4.97,14208
3172,0.9,Good,G,SI1,62.8,59.0,6.08,6.12,3.83,3734
3173,0.34,Ideal,I,VS1,62.0,54.0,4.51,4.49,2.79,643
3174,0.42,Ideal,D,VVS2,61.4,56.0,4.82,4.85,2.97,1326
3175,0.72,Good,F,SI1,63.4,58.0,5.66,5.69,3.6,2647
3176,0.31,Ideal,D,SI1,61.0,57.0,4.38,4.41,2.68,571
3177,1.63,Premium,F,SI1,59.7,62.0,7.73,7.65,4.59,12394
3178,0.42,Ideal,F,VVS2,61.1,57.0,4.84,4.82,2.95,1221
3179,0.32,Ideal,F,VS1,61.3,56.0,4.44,4.4,2.71,900
3180,0.41,Ideal,E,VS1,61.5,56.0,4.77,4.79,2.94,1007
3181,0.37,Good,H,VS2,63.7,55.0,4.56,4.54,2.9,749
3182,0.44,Ideal,H,IF,61.4,55.0,4.92,4.95,3.03,1177
3183,0.51,Premium,D,SI2,62.0,58.0,5.08,5.12,3.16,1264
3184,0.71,Ideal,E,VS1,62.3,54.0,5.69,5.73,3.56,3212
3185,0.95,Very Good,G,VS1,61.7,58.0,6.26,6.34,3.89,5111
